UF;CIDADE;IBGE;POPULAÇÃO;VALOR_TOTAL_PREVISTO;STATUS;PONTOS_ATENDIDOS;VALOR_INVESTIDO
AC;Tarauacá;1200609;38819;484.547,53;Sem Previsão;8;0
AL;Delmiro Gouveia;2702405;51997;1.169.381,70;Sem Previsão;43;0
AL;Estrela de Alagoas;2702553;18306;527.206,83;Sem Previsão;39;0
AM;Autazes;1300300;37033;1.171.151,92;Sem Previsão;51;0
AM;Benjamin Constant;1300607;39484;844.586,48;Sem Previsão;12;0
AM;Careiro;1301100;36435;748.797,08;Sem Previsão;17;0
AM;Coari;1301209;83078;814.954,75;Concluída;27;0
AM;Codajás;1301308;26777;757.706,74;Sem Previsão;36;0
AM;Iranduba;1301852;45984;800.655,02;Sem Previsão;30;0
AM;Manacapuru;1302504;94175;892.096,87;Concluída;31;763.009,30
AM;Manaquiri;1302553;28413;636.682,15;Concluída;21;0
AM;Maraã;1302801;18423;427.516,78;Sem Previsão;21;0
AP;Amapá;1600105;8622;459.240,58;Sem Previsão;15;0
AP;Laranjal do Jari;1600279;45712;896.578,06;Sem Previsão;17;0
AP;Mazagão;1600402;19571;594.149,70;Sem Previsão;20;0
AP;Porto Grande;1600535;19669;800.403,50;Sem Previsão;22;96.748,00
AP;Serra do Navio;1600055;4938;590.073,15;Concluída;21;495.899,00
AP;Vitória do Jari;1600808;14364;687.756,22;Sem Previsão;7;0
BA;Abaré;2900207;19574;490.227,43;Sem Previsão;23;0
BA;Anagé;2901205;20096;510.328,56;Sem Previsão;15;0
BA;Anguera;2901502;11299;441.915,04;Sem Previsão;20;0
BA;Baianópolis;2902500;14195;499.499,12;Sem Previsão;24;0
BA;Barra;2902708;54188;1.210.503,86;Sem Previsão;46;0
BA;Barra do Choça;2902906;34853;747.990,32;Sem Previsão;23;0
BA;Boa Vista do Tupim;2903805;18658;548.582,05;Sem Previsão;28;0
BA;Bom Jesus da Serra;2903953;10554;413.597,59;Sem Previsão;16;0
BA;Brejolândia;2904407;10698;437.370,14;Sem Previsão;17;0
BA;Buritirama;2904753;21549;486.364,54;Sem Previsão;20;0
BA;Coronel João Sá;2909208;17098;623.361,08;Sem Previsão;27;0
BA;Cotegipe;2909406;14403;687.927,70;Sem Previsão;36;0
BA;Curaçá;2909901;35208;544.494,05;Sem Previsão;13;0
BA;Encruzilhada;2910404;20331;401.380,67;Sem Previsão;17;0
BA;Guanambi;2911709;85797;533.416,18;Concluída;15;441.985,58
BA;Guaratinga;2911808;22355;464.626,92;Sem Previsão;17;0
BA;Itaberaba;2914703;66310;533.277,38;Concluída;16;409.445,98
BA;Itabuna;2914802;219680;623.601,85;Concluída;17;463.707,87
BA;Jeremoabo;2918100;41100;703.108,89;Sem Previsão;15;0
BA;Juazeiro;2918407;218324;330.262,76;Concluída;9;268.250,96
BA;Lauro de Freitas;2919207;191436;710.505,26;Concluída;21;625.251,76
BA;Nilo Peçanha;2922607;14188;467.642,09;Concluída;16;404.337,86
BA;Pedro Alexandre;2924207;18135;584.854,35;Sem Previsão;20;0
BA;Piatã;2924306;18473;480.760,30;Sem Previsão;25;0
BA;Piraí do Norte;2924678;10360;433.787,98;Concluída;15;377.520,78
BA;Presidente Tancredo Neves;2925758;27505;553.392,15;Sem Previsão;26;0
BA;Rafael Jambeiro;2925956;24349;441.036,02;Sem Previsão;27;0
BA;Riacho de Santana;2410801;4278;678.170,45;Sem Previsão;33;0
BA;Rio do Pires;2926905;12084;473.521,57;Sem Previsão;16;0
BA;Santa Rita de Cássia;2928406;28822;674.932,84;Sem Previsão;17;0
BA;São Desidério;2928901;32640;674.932,84;Sem Previsão;38;0
BA;Uruçuca;2932705;21849;674.090,96;Concluída;27;606.169,36
BA;Vitória da Conquista;2933307;343230;770.854,49;Concluída;19;650.404,89
CE;Aiuaba;2300408;16997;608.224,01;Sem Previsão;17;0
CE;Amontada;2300754;42098;479.642,87;Sem Previsão;18;47.964,29
CE;Araripe;2301307;21289;451.846,00;Concluída;16;431.175,00
CE;Barreira;2301950;20687;569.125,00;Concluída;20;503.602,40
CE;Brejo Santo;2302503;48056;414.096,87;Concluída;14;370.584,00
CE;Caririaçu;2303204;26858;855.645,37;Sem Previsão;38;0
CE;Ibaretama;2305266;13188;395.211,05;Sem Previsão;19;117.775,40
CE;Irauçuba;2306108;23543;602.490,73;Sem Previsão;24;0
CE;Itatira;2306603;20285;360.412,81;Sem Previsão;15;36.041,28
CE;Jaguaruana;2307007;33469;234.752,50;Concluída;24;621.943,90
CE;Jardim;2307106;27072;525.693,75;Sem Previsão;15;0
CE;Jucás;2307403;24479;811.165,19;Sem Previsão;23;70.519,42
CE;Maracanaú;2307650;221504;917.610,00;Concluída;31;904.979,30
CE;Mauriti;2308104;46113;800.468,71;Sem Previsão;28;0
CE;Missão Velha;2308401;35240;982.422,53;Sem Previsão;37;0
CE;Ocara;2309458;25123;932.719,89;Sem Previsão;33;93.271,99
CE;Orós;2309508;21394;776.131,97;Sem Previsão;33;80.526,63
CE;Quixeramobim;2311405;77174;611.463,00;Concluída;20;558.623,30
CE;Redenção;1506138;80797;541.709,65;Concluída;17;400.974,74
CE;Santa Quitéria;2312205;43359;778.971,49;Sem Previsão;25;77.897,15
CE;Santana do Acaraú;2312007;31596;880.816,43;Concluída;27;317.897,89
CE;São Benedito;2312304;46171;856.321,05;Sem Previsão;25;85.632,11
CE;São Gonçalo do Amarante;2312403;47297;465.564,00;Concluída;9;378.125,50
CE;Tururu;2313559;15594;572.200,39;Sem Previsão;20;57.220,04
CE;Varjota;2313955;18136;611.787,62;Concluída;20;605.458,80
CE;Viçosa do Ceará;2314102;58922;521.961,00;Concluída;20;487.065,00
DF;Estrutural;5300108;32148;421.957,11;Concluída;15;397.718,72
ES;Afonso Cláudio;3200102;32454;780.654,21;Sem Previsão;27;0
ES;Ecoporanga;3202108;24271;540.762,65;Sem Previsão;7;0
ES;Pinheiros;3204104;26589;998.180,59;Sem Previsão;30;0
ES;Santa Maria de Jetibá;3204559;38850;794.170,33;Sem Previsão;30;0
GO;Caiapônia;5204409;18148;906.494,09;Sem Previsão;13;0
GO;Divinópolis de Goiás;5208301;5020;360.499,19;Sem Previsão;13;0
GO;Itapuranga;5211206;26639;885.670,15;Sem Previsão;24;0
GO;Jandaia;5211701;6272;549.369,23;Sem Previsão;17;67.038,30
GO;Matrinchã;5212956;4500;276.226,89;Sem Previsão;10;0
GO;Nerópolis;5214507;27341;876.496,87;Sem Previsão;27;79.990,00
GO;Niquelândia;5214606;45243;1.099.715,59;Sem Previsão;19;0
GO;Paranaiguara;5216304;9760;502.769,75;Sem Previsão;9;0
GO;Rubiataba;5218904;19832;1.018.336,11;Sem Previsão;27;0
GO;Teresina de Goiás;5221080;3290;328.258,55;Sem Previsão;9;32.825,86
MA;Amarante do Maranhão;2100600;40378;945.609,08;Sem Previsão;34;0
MA;Apicum-Açu;2100832;17948;592.591,70;Sem Previsão;20;0
MA;Arari;2101004;29200;871.581,16;Sem Previsão;30;0
MA;Buriti;2102200;28022;677.397,63;Sem Previsão;19;0
MA;Buriti Bravo;2102309;23375;928.283,68;Sem Previsão;34;0
MA;Buritirana;2102358;15100;465.860,24;Sem Previsão;18;0
MA;Cajari;2102507;18943;592.591,70;Sem Previsão;20;0
MA;Cândido Mendes;2102606;19702;418.515,74;Sem Previsão;15;0
MA;Cantanhede;2102705;21464;900.614,38;Sem Previsão;33;0
MA;Duque Bacelar;2103901;11084;498.937,55;Sem Previsão;16;0
MA;Godofredo Viana;2104305;11464;291.229,74;Sem Previsão;11;0
MA;Governador Nunes Freire;2104677;25117;750.281,50;Sem Previsão;22;0
MA;Humberto de Campos;2105005;27976;577.921,74;Sem Previsão;20;47.849,40
MA;Jenipapo dos Vieiras;2105476;16124;477.330,04;Sem Previsão;17;0
MA;Magalhães de Almeida;2106300;19267;572.200,39;Sem Previsão;20;57.220,04
MA;Matões;2106607;32988;779.497,92;Sem Previsão;27;0
MA;Pastos Bons;2108009;18999;856.076,52;Sem Previsão;31;0
MA;Pedro do Rosário;2108256;24475;555.385,46;Sem Previsão;21;0
MA;Santa Rita;2110203;35980;918.594,72;Sem Previsão;27;75.012,00
MA;São Félix de Balsas;2110807;4518;277.811,50;Sem Previsão;10;0
MA;São João Batista;2111003;20235;664.540,54;Sem Previsão;30;0
MA;São João do Soter;2111078;18095;592.549,70;Sem Previsão;20;0
MA;São José de Ribamar;2111201;174267;538.580,75;Concluída;13;432.278,00
MA;São José dos Basílios;2111250;7495;453.268,86;Sem Previsão;23;0
MA;Urbano Santos;2112605;32316;935.412,72;Sem Previsão;34;0
MA;Viana;2112803;51249;772.597,30;Sem Previsão;14;0
MG;Araçuaí;3103405;37270;1.226.878,42;Sem Previsão;59;0
MG;Ataléia;3104700;14039;677.429,81;Sem Previsão;20;0
MG;Bonito de Minas;3108255;10669;493.606,18;Sem Previsão;14;0
MG;Botumirim;3108503;6574;372.703,80;Sem Previsão;16;0
MG;Buritizeiro;3109402;28163;1.204.352,22;Sem Previsão;24;0
MG;Chapada Gaúcha;3116159;12495;625.142,48;Sem Previsão;20;0
MG;Francisco Badaró;3126505;10550;507.294,62;Sem Previsão;11;0
MG;Grão Mogol;3127800;15805;543.768,80;Sem Previsão;25;0
MG;Inhapim;3130903;24835;638.250,82;Sem Previsão;25;0
MG;Itamarandiba;3132503;34253;789.334,91;Sem Previsão;24;0
MG;Itambacuri;3132701;23585;684.848,87;Sem Previsão;17;0
MG;Itinga;3134004;15059;600.277,22;Sem Previsão;26;0
MG;Japonvar;3135357;8643;507.879,32;Sem Previsão;20;0
MG;Jequeri;3135506;12946;452.115,69;Sem Previsão;21;0
MG;Manga;3139300;19622;884.532,58;Sem Previsão;32;0
MG;Monte Azul;3142908;21990;866.711,44;Sem Previsão;33;0
MG;Nepomuceno;3144607;26897;650.576,00;Em andamento;27;0
MG;Pimenta;3150505;8655;290.426,96;Concluída;9;288.464,55
MG;Piranga;3150802;17864;518.720,00;Sem Previsão;20;0
MG;Porteirinha;3152204;38720;821.017,18;Sem Previsão;23;0
MG;Rio Acima;3154804;9924;285.842,80;Concluída;7;240.879,90
MG;Rubelita;3156502;7093;449.756,78;Sem Previsão;12;0
MG;Salinas;3157005;41301;1.072.570,70;Sem Previsão;29;0
MG;Santana do Manhuaçu;3158904;8844;417.308,13;Sem Previsão;12;0
MG;Santo Antônio do Retiro;3160454;7290;354.122,34;Sem Previsão;9;0
MG;Simonésia;3167608;19421;415.175,48;Sem Previsão;10;0
MG;Varzelândia;3170909;19702;586.097,60;Sem Previsão;20;0
MG;Verdelândia;3171030;9056;538.911,86;Sem Previsão;11;0
MS;Aquidauana;5001102;47162;1.796.471,81;Sem Previsão;33;0
MS;Sidrolândia;5007901;51355;1.050.595,61;Sem Previsão;38;0
MS;Terenos;5008008;19914;680.997,61;Sem Previsão;23;0
MT;Campinápolis;5102603;15112;700.685,43;Sem Previsão;20;61.939,24
MT;Colniza;5103254;33575;1.120.514,49;Sem Previsão;30;92.707,50
MT;Nossa Senhora do Livramento;5106109;11393;586.821,47;Sem Previsão;18;0
MT;Rosário Oeste;5107701;17161;1.084.905,79;Sem Previsão;29;0
PA;Água Azul do Norte;1500347;26305;918.552,72;Sem Previsão;27;0
PA;Almeirim;1500503;33372;741.201,86;Sem Previsão;30;0
PA;Augusto Corrêa;1500909;43700;911.062,16;Sem Previsão;35;0
PA;Baião;1501204;43757;761.373,62;Sem Previsão;23;0
PA;Chaves;1502509;22566;920.152,72;Sem Previsão;27;0
PA;Conceição do Araguaia;1502707;46395;901.124,75;Concluída;27;722.265,70
PA;Curralinho;1502806;32248;514.114,46;Sem Previsão;23;0
PA;Curuçá;1502905;37800;424.830,85;Concluída;11;130.558,10
PA;Goianésia do Pará;1503093;37975;557.090,75;Concluída;14;413.613,50
PA;Itaituba;1503606;98446;926.456,65;Concluída;30;770.171,60
PA;Mãe do Rio;1504059;28959;752.184,78;Sem Previsão;20;83.562,00
PA;Marituba;1504422;122916;746.189,75;Concluída;19;289.252,00
PA;Muaná;1504901;37977;791.851,90;Sem Previsão;23;0
PA;Novo Progresso;1505031;25135;1.435.144,47;Sem Previsão;38;0
PA;Óbidos;1505106;50459;1.065.228,26;Sem Previsão;38;0
PA;Pacajá;1505486;44778;918.477,20;Sem Previsão;29;0
PA;Palestina do Pará;1505494;7424;721.189,04;Sem Previsão;23;0
PA;Paragominas;1505502;107010;1.023.839,75;Concluída;34;836.808,10
PA;São Domingos do Araguaia;1507151;24451;944.073,64;Sem Previsão;33;0
PA;São Sebastião da Boa Vista;1507706;25161;1.019.380,74;Sem Previsão;28;0
PA;Soure;1507904;24286;1.436.297,70;Sem Previsão;38;0
PA;Trairão;1508050;18084;522.826,11;Concluída;15;242.272,00
PA;Tucuruí;1508100;107189;559.184,35;Concluída;13;218.948,00
PA;Uruará;1508159;44486;783.863,93;Concluída;26;647.554,60
PB;Algodão de Jandaíra;2500577;2475;289.596,37;Sem Previsão;15;0
PB;Cabaceiras;2503100;5449;355.867,86;Em andamento;15;0
PB;Cachoeira dos Índios;2503308;10114;428.579,50;Concluída;14;377.463,70
PB;Esperança;2506004;32785;643.482,51;Em andamento;23;0
PB;Itaporanga;2507002;24499;649.011,44;Em andamento;23;0
PB;Lagoa Seca;2508307;27247;600.900,72;Concluída;23;509.997,10
PB;Mari;2509107;21755;820.023,00;Sem Previsão;42;0
PB;Nova Floresta;2510105;10650;266.802,12;Concluída;6;206.113,40
PB;Pocinhos;2512002;18272;419.387,54;Concluída;14;364.650,70
PB;Queimadas;2512507;43667;539.153,44;Concluída;19;490.024,60
PB;Riachão do Poço;2512762;4442;271.785,75;Sem Previsão;10;0
PB;São João do Rio do Peixe;2500700;17929;550.508,58;Concluída;19;526.144,00
PB;Seridó;2515401;10900;414.241,02;Sem Previsão;17;0
PB;Sobrado;2515971;7712;313.026,32;Sem Previsão;11;0
PB;Solânea;2516003;26734;823.494,82;Sem Previsão;28;0
PB;Sumé;2516300;16784;560.687,23;Sem Previsão;26;0
PB;Teixeira;2516706;14974;629.847,40;Sem Previsão;20;0
PB;Vieirópolis;2517209;5295;360.130,03;Sem Previsão;16;0
PE;Altinho;2600807;22876;535.504,77;Sem Previsão;13;0
PE;Bodocó;2602001;37317;485.264,10;Concluída;14;410.386,30
PE;Bom Conselho;2602100;47760;1.055.014,86;Sem Previsão;24;0
PE;Camutanga;2603603;8450;401.410,82;Sem Previsão;14;0
PE;Cortês;2604809;12602;508.256,37;Sem Previsão;24;0
PE;Dormentes;2605152;18321;481.178,83;Sem Previsão;16;0
PE;Exu;2605301;31928;661.855,41;Sem Previsão;22;0
PE;Granito;2606309;7308;456.930,19;Sem Previsão;15;0
